"term","afraid","amused","angry","annoyed","dont_care","happy","inspired","sad"
"innately",0,0,0,0,0,1.3e-05,99.999987,0
"negligence",0,0,92.431128,3.4e-05,0,0,0,7.568838
"asiatic",0,0,0,0,99.193308,0.806692,0,0
"athletic",0,0,0,0,0,99.999965,0,3.5e-05
"guildhall",0,0,0,0,99.999999,1e-06,0,0
"aged",2e-06,1e-06,0.00859,13.876193,0,3.282883,32.88492,49.947411
"inflow",26.512258,0,0,0,0,73.487742,0,0
"flutter",46.475522,0.000216,4e-06,3.524266,0,2e-06,0,49.999992
"uncrowned",0,0,0,0,0,76.366025,23.633975,0
"fishing",9e-06,0,0.100583,0,0,99.898871,0,0.000536
"bouncy",0,99.999198,0,0.000326,0,0.000476,0,0
"liberty",0,0,0,1e-06,0,99.999998,0,0
"pusher",3.399236,46.325778,0,0,0,0,0,50.274985
"tingle",9e-06,0.000121,4e-06,49.999755,0,49.998409,2e-06,0.0017
"cos",0,2.853586,0,0.001265,54.945544,0,19.10741,23.092195
"orderliness",0,0,0,0,91.869088,2.842494,0,5.288418
"translational",0.112684,0.645581,1.5e-05,0.165899,0,98.603989,0.000998,0.470835
"stylus",0,0,0,0,0,62.499963,37.500037,0
"much",1.28653,6.057904,0.000184,11.135576,1.4e-05,73.302086,7.227526,0.99018
"spy",49.857324,49.443095,0.695629,0,0.003921,3.2e-05,0,0
"coincidence",0,1e-05,99.999956,0,0,3.3e-05,0,1e-06
"placebo",0,0,0,0,0,100,0,0
"comptroller",0,0,0,67.788062,0,32.211938,0,0
"erving",0,2.911243,0,0,22.586836,2e-06,74.50192,0
"astounded",0,85.815037,0,2e-06,0,1e-06,14.18496,0
"plant-eating",0,100,0,0,0,0,0,0
"disband",0,0,0,1e-06,76.357648,3e-06,0,23.642348
"megabit",0,78.867551,21.132449,0,0,0,0,0
"silently",0,0,0,0,0,6e-06,99.999994,0
"wagoner",0,0,0,0.013687,0,99.986313,0,0
"recklessly",0,99.999962,0,1e-06,0,3.7e-05,0,0
"rasmussen",0,31.984034,0,0,0,0,68.015966,0
"fist",2e-05,4.779024,0.000223,4e-04,4e-06,0.531954,94.680693,0.007683
"miserable",0,99.999006,0,0,0,0.000923,0,7.2e-05
"inconvenience",40.679726,14.303047,28.460114,16.556762,0,0,0,0.000349
"formalise",0,0,30.055749,52.14348,0,17.800771,0,0
"victory",0,0,0,0,0,100,0,0
"group",0.055415,0.000513,0.277625,24.744298,0.011073,49.695302,8.868731,16.347042
"dietitian",0,6e-06,1e-06,97.853698,0,2.146274,2e-05,0
"reggae",5.5e-05,0.548178,0.00031,0.971697,1e-06,98.282358,0.197388,1.3e-05
"sponsor",1e-06,72.272938,0,0.00289,5e-06,27.707085,0.017081,1e-06
"faisal",0,0,10.605179,1.5e-05,0,0,3e-06,89.394802
"along",99.951778,0,0,0.011765,0.002561,0.033895,0,0
"light",0.351281,2.084632,8.6e-05,0.020941,3e-06,17.010185,80.365798,0.167074
"mayflower",0,0,0,0.000195,0,0,0,99.999805
"remembrance",0,0,0,4e-06,0,1e-06,0,99.999995
"th",0,0,2e-06,11.963322,10.514688,0,0,77.521987
"null",69.092172,0,8.101048,15.94491,6.861871,0,0,0
"staircase",0,0,0.000158,0,99.999703,2.6e-05,0.000112,0
"stakeholder",0,0,0.000125,1e-06,0,0.011372,99.988502,0
"some",0,0,55.034214,2.735481,42.230304,1e-06,0,0
"vibe",0,0.087723,0,0.00075,0,99.911374,0.000152,0
"dejectedly",0,0,0,0,0,100,0,0
"essex",0,48.610146,20.659508,0,0,0,0,30.730346
"resuscitation",99.999978,0,0,0,0,0,0,2.1e-05
"harsh",0.000509,1e-06,99.935616,1.8e-05,0,0.047074,0.000225,0.016557
"unwilling",2e-06,0,0,0,5e-06,99.999992,0,0
"dendroid",0.079655,0,0,0,0,0,99.920345,0
"gravitas",14.21427,2e-06,0,0,0,85.785727,0,0
"deterrent",0,0,0,0,0,100,0,0
"syringe",0,0,99.999999,0,0,1e-06,0,0
"reporter",0.064932,9e-06,0.2749,0.00163,0,98.617142,2.8e-05,1.041359
"skittishness",0,0,0,0,100,0,0,0
"threaten",0.092304,0.063762,96.969561,0.017575,0,2.856474,1e-06,0.000323
"football",0,0,8e-06,0,0,91.155725,8.844266,0
"elsewhere",0.037422,0.000233,91.553149,2.4e-05,0,8.36084,0.032598,0.015734
"gendarmerie",75.69378,1e-06,0,0.091721,0,0,13.240892,10.973606
"witherspoon",0,8.7e-05,0,26.33563,0,73.664282,1e-06,0
"fatah",47.610781,50.207618,0,0,0,2.1816,0,0
"politically",0,0,1.8e-05,99.999575,0,0.000406,0,0
"demonstrator",97.177277,6.7e-05,0.389248,1.8e-05,0,0.004888,0,2.428502
"calamitous",0,0,0,0,0,100,0,0
"australian",0.00013,24.666427,0.003064,25.005715,0,50.298791,0.000195,0.025678
"fda",0.124583,1.260516,0.158084,0.006716,0.029282,98.36725,0.03383,0.019739
"electrostatic",0,4e-06,0,0,99.999995,0,1e-06,0
"paralyzed",0,0,10.167136,89.832862,0,2e-06,0,0
"twinge",0,0,0,0,0,0,0,100
"part-timer",0,2e-06,0,0,0,1e-06,99.999997,0
"carving",0,0,0,0,99.999997,3e-06,0,0
"short-range",59.859732,0,0.00066,40.13399,0.005618,0,0,0
"wigwam",0,0,0,0,0,0,100,0
"scavenger",0,0,0,0,0,0,100,0
"archetypical",0,0,0,0,0,93.828043,6.170198,0.001759
"downsizing",0,0,0,41.81332,0,58.18668,0,0
"steuben",0,0,0,64.439659,0,0,35.560341,0
"messaging",0,0,0,1e-06,0.69603,99.303969,0,0
"exhaustion",0,9.640225,0,0.000221,0,4.3e-05,0,90.35951
"reincarnation",0,0,99.98963,0,0,0.01037,0,0
"amaze",0.000689,0.012208,6.9e-05,0.000179,0.00033,99.982968,0.000198,0.00336
"motif",8e-05,2.3e-05,0.000407,98.860456,4e-06,0.47039,0.668555,8.5e-05
"gauntlet",0,0.001868,0,60.256504,0,0,39.741628,0
"bronchitis",91.830548,0,0,0,8.169451,1e-06,0,0
"ulysses",0,0,0,0,0,100,0,0
"rogers",0,99.521344,0.000624,0,0,0.00023,0.477802,0
"infestation",94.771129,5.22887,0,0,0,0,0,1e-06
"exasperate",0,0,0,0,0.000144,0,0,99.999856
"crew",7.1e-05,0,0,0.00027,0,50.783941,9.6e-05,49.215621
"incisive",0,59.52768,0,12.332166,0,4.521663,0,23.618491
"unanticipated",0,0,0,7e-06,99.999993,1e-06,0,0
"mapping",0,0.000203,0,99.999251,0,0.000544,0,2e-06
"hardship",0,0,0,0,0.002328,3.1e-05,99.997642,0
"bombing",6e-06,0,99.999992,0,0,2e-06,0,0
"400th",0,99.999993,0,0,0,7e-06,0,0
"tryout",0,0,0.002993,0,0,1.280262,98.716742,3e-06
"philanthropic",0,0,19.27604,80.723943,0,2e-06,1.5e-05,0
"nigeria",99.975146,0,0.024354,0.000412,0,4e-06,8.4e-05,1e-06
"epoch",0,0,99.999991,0,0,0,0,9e-06
"chapman",0,0.000547,6.478642,0,0,93.514588,0,0.006222
"chandelier",0,68.94427,0,4.2e-05,2e-06,31.055686,0,0
"monumental",0,0,0.000184,0,0,3.8e-05,99.999778,0
"separately",0.0051,0.321061,13.822199,70.517691,1e-06,0.176979,15.143611,0.013358
"cinch",0,0.000149,0,0,0,99.999851,0,0
"hug",9e-06,0,1e-06,0,0.005898,50.000015,49.99407,6e-06
"chord",0,0.000192,0.000202,3.1e-05,1e-06,99.70582,0.001999,0.291755
"breeze",0.003831,4e-06,0.003031,9.408987,3e-06,89.974596,0.60888,0.000669
"accentuate",22.258,0,0,0,77.741999,1e-06,0,0
"cybernetic",0,0,0.036932,0,0,77.841761,0,22.121307
"prying",10.55625,30.354754,0,0,59.088996,0,0,0
"hadj",63.458951,0,0,0,27.816304,0,8.724745,0
"true-blue",0,2e-06,0,0,0,99.999997,1e-06,0
"ladder",0,0,0,0.000166,0,2.1e-05,0,99.999813
"amundsen",0,0,89.506119,0,0,0,10.493881,0
"breakwater",43.257861,27.047829,0,0,0,29.69431,0,0
"participant",0.001519,6e-05,0.00013,10.448308,0.001211,16.590273,72.945966,0.012532
"handhold",0,3.971031,0,0,0,95.280997,0.747972,0
"torque",0,0,0,3e-06,0,99.999961,0,3.6e-05
"emile",6.047713,0,0,0,69.288858,1e-06,0,24.663428
"mutilate",69.771215,0,30.228784,0,0,0,0,0
"rb",0,0,17.583943,0,49.409317,33.00674,0,0
"gb",0,0.019733,0,0.007564,0,0.000141,0,99.972561
"longer",0.000836,0.000247,5.8e-05,0.015318,65.479982,0.604234,0.000137,33.899188
"attainment",0,0,0,0,99.999996,4e-06,0,0
"iridescent",0.000184,0.00024,0.006768,56.923214,0.009792,31.495681,11.563552,0.000569
"plunk",0,3e-06,0.000539,99.224953,1e-06,0.774503,0,0
"tastebud",0,65.47432,0,0,1.3e-05,34.525661,6e-06,0
"cia",0,99.964965,0.035028,0,0,7e-06,0,0
"briefing",1e-06,0,99.757943,2e-06,0,0.242044,0,1e-05
"pontiff",0,0,0,0,0,99.999904,9.6e-05,0
"paediatric",74.090952,0,0,0,0,0,25.909048,0
"deliverable",3e-06,0,50.884287,49.11571,0,0,0,0
"diode",0,0,0,0,0,0,100,0
"email",0.009011,50.000125,0.003156,1.704337,2e-06,4.257177,0.236554,43.789639
"epilogue",12.601288,0,7.562561,0,0,54.41695,25.4192,0
"inalienable",0,0,0,0.000167,0,0,3.4e-05,99.999799
"polygamy",0,0,56.108979,0,0,0,0,43.891021
"rejoin",0,1e-06,0,0,21.114101,35.65027,8.46383,34.771798
"skillful",0,0,0,0,0,0.000252,99.999748,0
"fistfight",0,21.78903,0,37.360165,0,40.850805,0,0
"infiltrate",98.770847,0.589065,0.640088,0,0,0,0,0
"instability",10.915484,7e-06,53.965196,8.2e-05,0,3.909178,31.181111,0.028942
"arrange",0,0,3e-06,0.019452,99.937871,0.04266,5e-06,8e-06
"cobble",6e-06,3e-06,0.001686,99.969457,0,0.028783,2e-06,6.2e-05
"sudanese",0,0,22.918132,7.777542,0,3e-06,0,69.304324
"malicious",12.552144,0,0,87.447853,0,3e-06,0,0
"expanded",21.408235,19.675479,58.916263,0,0,2.4e-05,0,0
"menstruate",0,100,0,0,0,0,0,0
"controversial",0,0.000807,11.555875,59.620525,27.637869,1.184918,3e-06,2e-06
"airliner",0,0,39.683358,3.2e-05,0,0,0,60.31661
"buoy",0,0,0,0,0,0.000132,50.003278,49.99659
"pluck",0,0,0,0,0,0.000163,0,99.999836
"farmhouse",0,1e-06,99.999993,0,5e-06,0,0,0
"molehill",0,15.350571,0,0,0,11.264446,0,73.384983
"newman",98.251023,3e-06,0,0,0,1.748974,0,1e-06
"freely",0,0,99.999955,0,0,7e-06,3.8e-05,0
"through",0,0,0,0.00068,80.704064,19.295256,0,0
"andrews",0,0,0,99.999482,0,0.000512,0,5e-06
"sniper",0,0,1e-06,0,0,99.999998,0,0
"deceit",2e-05,0,1e-06,98.776023,0,0.015356,1.208599,1e-06
"reigning",0,0,0,0,0,75.021777,24.978223,0
"extortion",0.000346,0.669605,0.015673,0.642945,1.8e-05,98.620992,0.000323,0.050097
"digitally",0,0,5e-05,0,0,99.999951,0,0
"announcer",70.8623,0,23.067553,0,0,0,0,6.070146
"diam",0,0,40.162535,0,0,6.908467,0,52.928998
"bent",0.001665,1e-06,50.184504,2e-05,0,22.029416,10.678105,17.106288
"blouse",0.058456,68.555417,0.001963,15.127181,2.9e-05,13.174014,3.074116,0.008824
"flavour",0,0,0,0,0,90.506812,9.493188,0
"quotidian",0,100,0,0,0,0,0,0
"wilkes",0,0,0,0,0,100,0,0
"sharper",0,0,0,1.1e-05,0,9.862232,43.163685,46.974072
"usury",0,99.968446,0.031552,0,0,2e-06,0,0
"ratio",55.031783,0,0,3e-06,0,33.956333,11.011726,0.000155
"sousse",8.725465,0,14.165726,1e-06,59.314069,0,0,17.794739
"bicycle",8e-06,0,1e-06,0.001049,0,0.000444,0,99.998498
"irak",42.81967,26.370673,0,21.612156,0,9.197499,0,0
"jalalabad",0,0,0,0.000142,6.588966,1e-06,0,93.410892
"islamophobia",0,0,0,0,0,93.633634,6.366366,0
"pygmalion",0,0,0,94.672657,0,5.327343,0,0
"miscegenation",0,0,0,0,83.724032,16.275968,0,0
"softie",0,0,0,0,0,100,0,0
"active",1.278988,3e-06,0,0,0,97.731535,0.98937,0.000103
"flan",0,0.000571,0,2e-06,3.6e-05,99.994597,0.004793,1e-06
"damper",56.978509,0,0,0,0,43.021491,0,0
"demarcate",0,7e-06,0,99.999993,0,0,0,0
"confectioner",0,3e-06,99.999941,0,0,0,5.6e-05,0
"redoubt",0,0,0.804301,99.195668,0,0,0,3.1e-05
"strangulate",0,38.426305,0,13.222499,0,0,0,48.351196
"amorous",10.093829,1.215737,74.714987,0,6.926163,0,0,7.049283
"bobbin",41.096814,0,0,0,0,0,58.903186,0
"sleek",1.1e-05,14.453784,0,3.6e-05,57.422266,28.123827,1.1e-05,6.5e-05
"address",0.275517,9e-06,0.019882,50.402393,1e-05,17.560501,31.741182,0.000505
"litany",0.00172,1e-05,99.958869,0.000113,0,0.02783,5e-06,0.011453
"oncologist",0,0,0,0,0,100,0,0
"encirclement",0,1e-06,0.007314,2e-05,6.922249,0.116514,92.953903,0
"rout",0,0,0,0,49.999975,50.000023,2e-06,0
"salisbury",5e-06,0,0.000152,0,0.03739,1.922887,98.036431,0.003134
"achiever",2e-06,0,1.4e-05,0.024186,0,99.826859,0,0.148938
"ulaanbaatar",0,0,0,76.346601,0,0,23.653399,0
"automaton",89.303254,0,0,5.2e-05,0,0,10.696695,0
"slugger",0,0,11.628884,1.6e-05,0.000966,88.370133,0,0
"unclog",0,3e-06,0,0,0,1e-06,99.999996,0
"fountainhead",0,0,0,0,46.037373,53.962627,0,0
"yukawa",0,0,84.086251,0.000723,0,1e-06,4.317638,11.595387
"run-through",0,0,0,0,0,1e-06,99.999999,0
"contact",50.005843,49.987208,0.005037,0,0,0.000156,2.4e-05,0.001731
"depend",0.179464,28.539023,0.017704,2e-06,19.152533,7.528779,44.582475,2e-05
"dana",44.898677,0.000521,49.660825,0.000157,0,0.000428,2.8e-05,5.439364
"ripen",0,0,0,0,0,0,100,0
"making",0,2.1e-05,35.711534,63.047109,0.002414,1.238801,2.1e-05,1e-04
"colloquium",54.049546,0,0,0,0,45.950454,0,0
"firmament",0,0,0,0,0,2e-06,99.999998,0
"untrue",15.995773,15.665036,0,1e-06,0,0,0,68.33919
"lightbulb",1.225198,0,0,86.778771,0,0.509123,11.486908,0
"gum",19.876522,49.960302,1e-06,0,1e-05,30.163034,0.00013,0
"surveyor",0,0,0,0,0,0,100,0
"unimaginably",0,53.09275,0,0,20.593148,0,26.314102,0
"limit",0.077721,0.216421,0.771097,46.144082,0,52.787817,0,0.002861
"nanometer",0,18.608865,0,0,0,0.000152,81.390983,0
"grading",0,0,0,68.261826,31.738171,4e-06,0,0
"ham",0,0.000175,13.608222,0.04547,0,0.000551,2.42944,83.916142
"whim",0,43.910872,31.800437,0,11.111345,0,13.177346,0
"glasgow",5.553878,0.027006,0,1e-06,2e-06,51.477206,0.002027,42.93988
"bra",0,99.99994,0,0,0,6e-05,0,0
"sentence",5.8e-05,0,80.939456,0.089024,0,0.070282,0,18.901182
"parish",0,6e-06,0,0,0,99.99905,1.1e-05,0.000934
"vindicate",0,99.913707,0,0,0.086152,0.000141,0,0
"mundane",0,4e-06,0,0,0,7.7e-05,99.999919,0
"airport",99.995964,0.000131,0,0,0,0.001265,0,0.002639
"karachi",0,0,1e-05,40.402295,0,1e-06,3e-06,59.597692
"reevaluate",0,0,0,37.786005,4.2e-05,34.089982,0,28.123972
"admittedly",0,91.04058,0,0,0,1e-06,8.959418,0
"nov",0,0,0,0,0,99.999999,0,1e-06
"hormone",0.000215,17.314361,0.068437,66.748358,0.000412,2.310627,13.555961,0.001629
"barilla",0,71.95138,0,0,0,28.04862,0,0
"melodrama",0,0,0,0,86.40416,13.595806,3.3e-05,0
"ernst",0,0,0,2e-06,0,1.3e-05,4.5e-05,99.999939
"architectural",0.000206,5.826339,61.116987,0,1e-06,0.668154,32.388283,2.9e-05
"succulent",0,0,3e-05,0,0,0.009768,0,99.990202
"joker",57.413324,1.184823,41.401577,0,0.000112,0.000164,0,0
"bell",9e-06,0.087068,94.275298,0.025242,1.4e-05,4.501237,0.005128,1.106005
"meritocratic",0,0,0,0,99.999997,0,3e-06,0
"veneto",0,0,0.341097,0,44.189792,55.469111,0,0
"steinem",0,42.661325,0,0,0,57.338675,0,0
"sulfur",0,0,0,0,0,100,0,0
"fanatic",49.989713,26.174517,0.000233,9.4e-05,3.4e-05,8.562462,15.272948,0
"iglesias",30.042638,0,0,0,69.957341,2.1e-05,0,0
"depression",0,0,0,0.000123,0,9e-06,0.000106,99.999762
"patchwork",0.00165,2e-06,0.000638,0.001687,1e-06,3.18959,96.600082,0.206351
"thereafter",6e-06,0.686643,0.000128,0,1e-06,99.309204,0.002851,0.001167
"behalf",6.2e-05,0.00513,0.211383,99.491098,0,0.285588,5e-06,0.006733
"shellfire",0,0,0,0,0,0,0,100
"one-sixth",79.87897,0,0,0,0,20.12103,0,0
"incoming",22.200728,0.012897,0,24.703507,27.78459,4.070362,0,21.227915
"grader",0,34.34131,0,0,0,3e-06,65.658687,0
"demotion",0,0,61.323186,0,0,0.07554,0,38.601274
"midway",0,0,0,0.00072,0,99.999279,1e-06,0
"dieting",0,0,0,23.963145,0,1.49523,74.541625,0
"scottish",0,99.995721,0,0,0.004266,1.3e-05,0,0
"singapore",1e-06,0,0.000179,1e-06,0,98.758693,0.000203,1.240924
"efficacious",0,0,0,0,0,100,0,0
"territorial",1e-06,12.481748,49.900158,37.583289,0,0.034804,0,0
"cid",0,0,0,99.999995,0,5e-06,0,0
"consignee",0,0,0,26.069059,0,1e-06,0,73.930941
"fulcrum",98.883745,1.3e-05,0.153567,0.000142,5e-06,0.956204,0.006323,0
"adjusted",0,0,0,0,0,100,0,0
"away",0.502542,3.6e-05,7.21513,0.110366,0,77.448824,5e-06,14.723096
"lip",0,99.99972,0,9e-06,0,0.000272,0,0
"mu",0,0,0,99.99986,0,2e-06,0,0.000137
"resell",0,4e-06,5.7e-05,99.999939,0,0,0,0
"totem",0,17.229673,0,15.370486,49.154042,0,9.746067,8.499731
"humerus",0,29.800511,2e-06,0.000414,1.4e-05,70.199017,0,4.2e-05
"facile",0,99.999994,4e-06,1e-06,0,0,1e-06,0
"accustom",0,99.99984,0,0,0,0.000151,0,8e-06
"levant",56.642613,0,0,2e-05,0,0,0,43.357367
"conditional",0,39.08015,43.208559,0,0,17.711291,0,0
"jealousy",0,0.000134,0.076601,0,5e-05,1e-06,0,99.923214
"order",32.964777,0.008589,43.739052,10.270932,1e-06,12.973185,8.4e-05,0.04338
"post-mortem",0,0,17.39527,2.6e-05,0,1e-06,0,82.604703
"apprentice",0,0,0.000164,0,0,99.999781,0,5.5e-05
"repartee",0,0,0,0,0,0,0,100
"lisp",0,0,0,0,0,0,100,0
"repository",2e-06,5e-06,1.6e-05,98.494315,0,1.46004,2e-06,0.04562
"testing",3e-06,0,0,0,0,99.999991,0,6e-06
"stench",0,0,0.017013,3.5e-05,0,3e-06,0,99.982948
"biosafety",57.216286,0,0,0,0,7.058754,35.72496,0
"xii",0,0,0,67.490097,2.7e-05,2e-06,0,32.509874
"mangold",7.060511,0,36.770411,0,41.07134,15.097738,0,0
"trade-off",0,62.234785,0,0,0,0,37.765215,0
"ouija",0,0,0,0,0,100,0,0
"vicious",0,2e-06,0,0,99.999993,5e-06,0,0
"slipway",0,0,99.991647,0,0,0.008353,0,0
"stab",55.018318,0,4.168816,0.002708,0,0.004024,0,40.806134
"dearly",0.000115,0,0,0,0,0.000259,99.998712,0.000914
"barong",0,0,2.7e-05,0,0,0.396594,99.603289,9e-05
"gondolier",0,0,1e-06,2.2e-05,7.5e-05,99.999622,2.3e-05,0.000256
"tarn",0,29.567736,70.432264,0,0,0,0,0
"outfox",54.537985,0,0,0,0,0,0,45.462015
"threshold",0,0,0.002263,7e-06,0,0.000382,0.000104,99.997244
"analogous",0,0,0,0,0,0.000102,99.999898,0
"trivialize",0,0,0,0,0,100,0,0
"consultation",0,1e-06,0.001426,99.99806,0,6e-05,0,0.000454
"redeemer",0,0.000357,0,0.000383,0,5e-06,1.774636,98.224619
"culture",4e-05,50.00003,0.00024,0.035041,7e-06,3.573814,46.390526,0.000301
"enough",0.571499,30.004058,0.002809,5.921356,0.000567,40.451573,23.043182,0.004956
"violence",99.369443,0,0.456288,0,0,0.027452,0.00047,0.146346
"ration",50.000008,49.999992,0,0,0,0,0,0
"translate",0.001745,0.749821,0.098063,4e-06,1.2e-05,69.253983,29.896012,0.00036
"aggro",1.4e-05,0,0,0,1e-06,99.999984,0,1e-06
"aeroplane",0,3e-06,0,0,0,99.999997,0,0
"malaya",0,0,0,0,80.859828,11.063209,8.076963,0
"unsavory",0,0,0,0,100,0,0,0
"officially",8e-06,1.9e-05,0,7e-06,99.080679,0.919285,0,2e-06
"casing",0.001605,99.732563,4.8e-05,1e-06,0,0.265359,0,0.000424
"old-fashioned",0,3.752024,5e-06,0.02032,91.305949,0.537104,4.384596,1e-06
"transition",0.000248,49.999994,0,0,0,49.999654,0.000102,2e-06
"tartar",0,99.999997,0,0,0,3e-06,0,0
"ussr",0,11.923758,0,88.076203,0,3.9e-05,0,0
"criminalise",0,0,4.488227,0,0,0,0,95.511772
"mvp",0,1e-06,2e-06,8.709688,0.032222,91.258085,2e-06,0
"ipv",91.480441,0,0.224996,0,0,8.294077,1e-06,0.000485
"triad",0,0,96.48857,0,3.511429,1e-06,0,0
"predict",0.733078,0.014361,7.1e-05,96.749078,1e-06,2.493165,0.01002,0.000226
"vitamin",1.7e-05,0.117143,0,0.549822,4e-06,2.094535,97.237702,0.000776
"zoo",1e-06,0.002047,59.353064,0.001575,0,0.006336,0.00032,40.636658
"illusionist",3.002724,47.434037,0,0,24.695644,6.866221,18.001374,0
"gunman",48.379761,0,51.620239,0,0,0,0,0
"congestive",0,0,65.750214,1e-06,0,0,0,34.249785
"pock",0,0,0,0,0,0,100,0
"plait",0,3.3e-05,0,5.1e-05,0,0,0,99.999916
"army",66.717956,3.006211,2.003078,13.207721,7.8e-05,15.059608,0,0.005348
"endorser",0,4.417816,0,0,95.582173,1.1e-05,0,0
"frustrating",0,0,0,0.000351,0.000724,2.7e-05,0,99.998897
"cease-fire",0,0,43.876432,0,0,0,0,56.123568
"feed",0.470906,0.111795,0.001253,49.968006,4e-06,9.740382,39.526724,0.18093
"dallas",0.000569,93.339046,0,0,0,6.660385,0,0
"flammability",0,0,0,2e-06,0.001155,0,0,99.998843
"aggression",0.058859,1.6e-05,8.271283,0.000263,1e-06,91.669471,3.7e-05,7e-05
"curly-haired",0,1e-06,0,0,0,66.244745,0,33.755255
"withdrawal",1e-06,0,8.3e-05,0.147322,2e-06,0.000672,0,99.851919
"presumption",0,35.751866,0,0,10.5189,53.729234,0,0
"kinda",0,0,0,0,46.497593,53.502407,0,0
"noteworthy",0,0,0,99.999981,0,1.9e-05,0,0
"patrimony",0,14.237507,0,0,3e-06,48.062656,37.699827,7e-06
"north-northeast",0,0,0,0,59.244116,40.75588,0,4e-06
"consuming",0,0,0,0,0,100,0,0
"haptic",0,10.475929,0,31.6941,0,0,0,57.829972
"armenian",0,0,0,99.989746,0.010231,2.3e-05,0,0
"nourished",0,0,0,0,0,0,100,0
"ephesus",0,0.003664,1e-06,0,0,54.483534,45.512795,6e-06
"romantically",0,0,0,0,8.642709,91.357291,0,0
"yugoslavian",0,0,0,0,0,80.411903,19.588097,0
"press",0.003981,0.449172,48.805418,0.142018,0.272883,50.287579,0.036272,0.002678
"clinic",0.001082,0.001264,1.384914,0.000395,2.2e-05,98.61215,8e-05,9.1e-05
"psoriasis",0,0,0,0,39.352879,60.647121,0,0
"good-bye",0,0,0,35.931085,13.858765,0,37.714218,12.495933
"subcontinent",0.001389,2e-06,55.696536,44.271696,0,0.029707,4.7e-05,0.000623
"localised",15.538454,20.240902,7.184297,4e-06,0,57.036343,0,0
"reticence",0,17.719024,0,0,82.280976,0,0,0
"ko",0,0,0,0,39.95533,56.620507,3.424163,0
"m1",0,99.999992,0,0,0,8e-06,0,0
"maltreat",0,62.145019,0,0,0,2e-06,37.854978,0
"fond",0,0,0,5e-06,57.835847,1.9e-05,42.164129,0
"vase",0,0,0,0,0,100,0,0
"dignity",0.000402,1.8e-05,0.000264,12.399037,0,0.193838,87.178425,0.228014
"coahuila",0,0,0,0,0,0,0,100
"sundial",0,45.118313,23.685049,0,0,2.198699,8.44783,20.550109
"ditty",0,0.000451,0,2e-06,5e-06,99.999541,1e-06,0
"good-neighborliness",0,11.979554,31.621577,56.398869,0,0,0,0
"disappointed",0,0,0.035539,0.00118,0.001284,4e-05,0,99.961957
"archangel",0,0,0,0,0,100,0,0
"iceberg",0,0,92.724125,7.275871,0,4e-06,0,0
"llama",0,85.045648,0,0,0,0.003929,14.652858,0.297565
"coldness",0,17.395003,82.604997,0,0,0,0,0
"federalization",79.0926,0,0,16.011296,0,4.896104,0,0
"viral",1e-06,99.986344,1e-06,0.009729,0.003917,7e-06,0,0
"dray",0.250537,0,0,0,0,54.046056,45.703406,0
"publicly",0.000131,0.000216,58.131777,0.614603,6e-06,40.808244,2e-06,0.445022
"topaz",0,99.464088,0,0,0,0.535912,0,0
"tightness",52.292586,0,0,0,0,47.707414,0,0
"yardstick",99.999572,0,0,5e-06,0.000278,0.000101,4.4e-05,0
"facility",47.43873,2e-06,49.440909,2e-06,0,2.899007,4e-06,0.221346
"patriot",0,0,0.005461,0.013339,0,0.009455,99.971745,0
"kampala",0,0,94.916344,0,0,5.083656,0,0
"alcohol",0,99.996099,0,0,0,0.00389,0,1.1e-05
"bruin",4.774261,0,0,0,0,47.313707,47.912033,0
"suede",0,8.870269,0,0,0,50.794785,40.334946,0
"estonian",24.96162,0,35.342616,17.053291,0,0,22.642473,0
"keyhole",0,0.051095,0,0,0,99.915131,0.033773,0
"atp",0,0,0,11.855293,0,59.689666,0,28.455041
"unattractive",0,3.298733,4e-06,1e-06,1e-06,0.285074,5.627359,90.788829
"equanimity",0,100,0,0,0,0,0,0
"camouflage",22.369153,19.522771,49.987826,8.12025,0,0,0,0
"appreciative",0,0,0,43.411078,11.992899,5e-06,2e-06,44.596016
"pitta",0,49.343036,0,0,0,50.656964,0,0
"deft",6.3e-05,0,0,0,52.001739,47.997549,0.000646,1e-06
"saucepan",0,0,0,0,0,100,0,0
"reexamine",27.794433,0,10.922425,34.080935,0,0,0,27.202207
"split",0.000304,0.015158,1.3e-05,0.006595,0.031708,99.933113,0.013069,4.1e-05
"ballooning",0,0,0,98.015338,0,1.984662,0,0
"promotion",2e-06,0.000158,0.005491,0.000197,1e-05,99.991282,0.00286,1e-06
"kyoto",0,0,0,0.000187,1e-05,2.3e-05,99.99978,0
"octogenarian",0,1e-06,0.004207,1e-06,2e-06,49.99488,0.000901,50.000008
"suburbia",0,2e-06,0,50.270165,0,0,0,49.729833
"nitric",0,7e-06,9.459824,0,0,90.54017,0,0
"commemorative",22.515654,0,0,0,77.166327,0.318019,1e-06,0
"ringgit",0,0,0.003398,0.020729,99.905061,0.060643,0.010168,1e-06
"reich",47.850028,43.056968,0.200476,8.892528,0,0,0,0
"haulage",0,11.131525,0,0,0,0,0,88.868475
"receptive",0,0,0,0,0,0.00461,99.99539,0
"yamamoto",0,0,0,0,0,100,0,0
"one-eyed",0,0,0.108807,6.5e-05,0,99.891128,0,0
"labour-intensive",0,58.501459,0,0,41.49854,0,0,1e-06
"helplessly",0,0,3e-05,9e-06,0,0,14.167415,85.832547
