"term","afraid","amused","angry","annoyed","dont_care","happy","inspired","sad"
"believer",0,0,0,0,0,0.000582,99.999416,2e-06
"acne",0,5.08686,0,44.139027,13.014284,37.75983,0,0
"entomb",0,12.848531,0,87.151469,0,0,0,0
"summary",0,0,0,1.8e-05,0,7e-06,0,99.999975
"puppet",74.766545,4e-06,0,8.641032,0,0,16.592417,0
"arrogantly",0,0,42.885143,57.114857,0,0,0,0
"christchurch",0.01737,1.248673,0,0,90.038322,8.193912,4.3e-05,0.501681
"left",3e-05,8.6e-05,7e-06,4e-06,19.736359,46.892357,33.333195,0.037963
"chips",0,0,0,67.799915,0,1e-06,32.200084,0
"delicate",2e-05,95.766962,0.039914,0,4.120385,0.072544,1.3e-05,0.000162
"byproduct",0.039242,1e-06,0,0,38.923952,61.036805,0,0
"stupor",0,99.998409,0,0.001589,0,2e-06,0,0
"fortnight",0,0,52.320521,2e-06,0,7e-06,0,47.679471
"jealously",7.521211,0,0,0,92.478788,0,0,0
"hindu",0.000256,96.657347,0.00035,0.002058,0,3.274849,0.062385,0.002755
"hello",0,27.854059,0,0,0,72.145941,0,0
"managua",0,0,0,0,0,1.5e-05,0,99.999984
"manipulative",0,0,0,0,2e-06,1.2e-05,99.999986,0
"biceps",0,11.625895,0,0,0,1e-06,0,88.374104
"toronto",0,99.97465,0,0,0,0.025174,0,0.000176
"nowadays",0,12.776881,2e-06,4.5e-05,2.964289,10.296935,73.961651,0.000196
"slack",0,0,15.680102,13.090133,17.658726,33.327602,20.243437,0
"decadence",0,99.999999,0,0,0,0,1e-06,0
"elasmobranch",0,0,0,0,0,0,100,0
"two-way",0,0,0,0,0,100,0,0
"rumpelstiltskin",0,99.665422,0,0,0.334577,0,0,0
"unnecessary",0,0,0,0.081301,99.916853,0.001845,0,0
"increasing",15.063548,11.504537,15.911963,41.450567,0.005686,0,16.063699,0
"walk-through",2e-06,99.999982,0,0,0,1.6e-05,0,0
"keller",99.633144,0,0,0,0,0,0.366856,0
"pansa",0,0,0,0,99.999933,6.7e-05,0,0
"nereus",0,33.785147,0,0,38.758979,0,0,27.455874
"adjudicator",0,0,0,0,10.017254,4e-06,89.982742,0
"lineal",0,49.656459,4.720801,29.08904,0,8e-06,16.533692,0
"cockpit",0,0,3e-06,0.005726,0,0.000126,0,99.994145
"unmapped",8.803319,0,0,0,0,0,0,91.196681
"dictatorship",0,99.999891,0,0,0,0.000109,0,0
"meles",0,0,76.687814,0,22.733177,0.579008,0,0
"mb",94.622581,5.377414,0,0,0,6e-06,0,0
"one-armed",0,0,0,1.2e-05,0,0,0,99.999987
"elderly",8.6e-05,1.1e-05,2.7e-05,0.000216,0,16.174225,25.330238,58.495196
"harass",0,0,99.997055,0.002944,0,1e-06,0,0
"solicitor",97.525946,0,0,0,0,2.474054,0,0
"insignia",49.751605,6.7e-05,50.248327,0,0,1e-06,0,0
"holland",0,0,0,99.999983,0,1.6e-05,1e-06,0
"gandhi",0,1.207642,0,0,98.792357,0,0,0
"skill",0,6.789252,1e-05,1e-04,1e-05,42.479157,50.731246,0.000225
"morrow",0,21.643441,0,78.356556,0,3e-06,0,0
"storeroom",0.00037,0,2.7e-05,84.399624,0,0.830766,0,14.769214
"woo",0,99.998919,0,0,0.001056,2.5e-05,0,0
"deplane",0,24.423294,0.389452,7.904791,67.282464,0,0,0
"tardy",0,1e-06,87.980734,0,0,0,12.019265,0
"case-by-case",0,0,0,0,69.106369,0,0,30.893631
"forgotten",0,0,0,5.955307,1.789414,4e-06,68.280495,23.974779
