"term","sentiment"
"hooligan","-40"
"hooliganism","-40"
"hooligans","-40"
"hope","40"
"hopeful","40"
"hopefully","40"
"hopeless","-40"
"hopelessness","-40"
"hopes","40"
"hoping","40"
"horrendous","-60"
"horrid","-60"
"horrible","-60"
"horrific","-60"
"horrified","-60"
"hospitalized","-40"
"hostile","-40"
"huckster","-40"
"hug","40"
"huge","20"
"hugs","40"
"humane","40"
"humble","20"
"humbug","-40"
"humerous","60"
"humiliated","-60"
"humiliation","-60"
"humor","40"
"humorous","40"
"humour","40"
"humourous","40"
"hunger","-40"
"hurrah","100"
"hurt","-40"
"hurting","-40"
"hurts","-40"
"hypocritical","-40"
"hysteria","-60"
"hysterical","-60"
"hysterics","-60"
"icky","-60"
"idiocy","-60"
"idiot","-60"
"idiotic","-60"
"ignorance","-40"
"ignorant","-40"
"ignore","-20"
"ignored","-40"
"ignores","-20"
"ill","-40"
"ill-fated","-40"
"illegal","-60"
"illegally","-60"
"illegitimate","-60"
"illiteracy","-40"
"illness","-40"
"illnesses","-40"
"illogical","-40"
"imaginative","40"
"imbecile","-60"
"immobilized","-20"
"immortal","40"
"immune","20"
"impair","-40"
"impaired","-40"
"impairing","-40"
"impairment","-40"
"impairs","-40"
"impatient","-40"
"impeachment","-60"
"impeachments","-60"
"impede","-40"
"impeded","-40"
"impedes","-40"
"impeding","-40"
"impedingly","-40"
"imperfect","-40"
"importance","40"
"important","40"
"impose","-20"
"imposed","-20"
"imposes","-20"
"imposing","-20"
"imposter","-40"
"impotent","-40"
"impress","60"
"impressed","60"
"impresses","60"
"impressive","60"
"imprisoned","-40"
"imprisonment","-40"
"improper","-40"
"improperly","-40"
"improve","40"
"improved","40"
"improvement","40"
"improves","40"
"improving","40"
"inability","-40"
"inaction","-40"
"inadequate","-40"
"inadvertently","-40"
"inappropriate","-40"
"incapable","-40"
"incapacitated","-40"
"incapacitates","-40"
"incapacitating","-40"
"incense","-40"
"incensed","-40"
"incenses","-40"
"incensing","-40"
"incoherent","-40"
"incompetence","-40"
"incompetent","-40"
"incomplete","-20"
"incomprehensible","-40"
"inconsiderate","-40"
"inconvenience","-40"
"inconvenient","-40"
"increase","20"
"increased","20"
"indecisive","-40"
"indestructible","40"
"indicted","-40"
"indifference","-40"
"indifferent","-40"
"indignant","-40"
"indignation","-40"
"indoctrinate","-40"
"indoctrinated","-40"
"indoctrinates","-40"
"indoctrinating","-40"
"inediable","-40"
"inexorable","-60"
"inexcusable","-60"
"ineffective","-40"
"ineffectively","-40"
"ineffectual","-40"
"inefficiency","-40"
"inefficient","-40"
"inefficiently","-40"
"inept","-40"
"ineptitude","-40"
"infantile","-40"
"infantilized","-40"
"infatuated","40"
"infatuation","40"
"infect","-40"
"infected","-40"
"infecting","-40"
"infection","-40"
"infections","-40"
"infectious","-40"
"infects","-40"
"inferior","-40"
"infest","-40"
"infested","-40"
"infesting","-40"
"infests","-40"
"inflamed","-40"
"inflict","-40"
"inflicted","-40"
"inflicting","-40"
"inflicts","-40"
"influential","40"
"infract","-40"
"infracted","-40"
"infracting","-40"
"infracts","-40"
"infringement","-40"
"infuriate","-40"
"infuriated","-40"
"infuriates","-40"
"infuriating","-40"
"inhibit","-20"
"inhuman","-40"
"injured","-40"
"injuries","-40"
"injury","-40"
"injustice","-40"
"innovate","20"
"innovates","20"
"innovation","20"
"innovative","40"
"inoperative","-40"
"inquisition","-40"
"inquisitive","40"
"insane","-40"
"insanity","-40"
"insecure","-40"
"insensitive","-40"
"insensitivity","-40"
"insignificant","-40"
"insipid","-40"
"insolvent","-40"
"insomnia","-40"
"inspiration","40"
"inspirational","40"
"inspire","40"
"inspired","40"
"inspires","40"
"inspiring","60"
"insufficiency","-40"
"insufficient","-40"
"insufficiently","-40"
"insult","-40"
"insulted","-40"
"insulting","-40"
"insults","-40"
"intact","40"
"integrity","40"
"intelligent","40"
"intense","20"
"interest","20"
"interested","40"
"interesting","40"
"interests","20"
"interrogated","-40"
"interrupt","-40"
"interrupted","-40"
"interrupting","-40"
"interruption","-40"
"interrupts","-40"
"intimacy","40"
"intimidate","-40"
"intimidated","-40"
"intimidates","-40"
"intimidating","-40"
"intimidation","-40"
"intransigence","-40"
"intransigency","-40"
"intricate","40"
"intrigues","20"
"invasion","-20"
"invincible","40"
"invite","20"
"inviting","20"
"invulnerable","40"
"irate","-60"
"ironic","-20"
"irony","-20"
"irrational","-20"
"irreparable","-40"
"irreproducible","-40"
"irresistible","40"
"irresistibly","40"
"irresolute","-40"
"irresponsible","-40"
"irresponsibly","-40"
"irreversible","-20"
"irreversibly","-20"
"irritate","-60"
"irritated","-60"
"irritates","-60"
"irritating","-60"
"isolated","-20"
"itchy","-40"
"jackass","-80"
"jackasses","-80"
"jailed","-40"
"jaunty","40"
"jealous","-40"
"jealousy","-40"
"jeopardy","-40"
"jerk","-60"
"jesus","20"
"jewel","20"
"jewels","20"
"jocular","40"
"join","20"
"joke","40"
"jokes","40"
"jolly","40"
"jovial","40"
"joy","60"
"joyful","60"
"joyfully","60"
"joyless","-40"
"joyous","60"
"jubilant","60"
"jumpy","-20"
"justice","40"
"justifiably","40"
"justified","40"
"keen","20"
"kickback","-60"
"kickbacks","-60"
"kidnap","-40"
"kidnapped","-40"
"kidnapping","-40"
"kidnappings","-40"
"kidnaps","-40"
"kill","-60"
"killed","-60"
"killing","-60"
"kills","-60"
"kind","40"
"kind of","0"
"kinder","40"
"kindness","40"
"kiss","40"
"kudos","60"
"lack","-40"
"lackadaisical","-40"
"lag","-20"
"lagged","-40"
"lagging","-40"
"lags","-40"
"lame","-40"
"landmark","40"
"lapse","-20"
"lapsed","-20"
"laugh","20"
"laughed","20"
"laughing","20"
"laughs","20"
"laughting","20"
"launched","20"
"lawl","60"
"lawsuit","-40"
"lawsuits","-40"
"lazy","-20"
"leadership","20"
"leading","40"
"leak","-20"
"leaked","-20"
"leave","-20"
"legal","20"
"legally","20"
"lenient","20"
"lethal","-40"
"lethality","-40"
"lethargic","-40"
"lethargy","-40"
"liar","-60"
"liars","-60"
"libelous","-40"
"lied","-40"
"lifeless","-20"
"lifesaver","80"
"lighthearted","20"
"likable","40"
"like","40"
"likeable","40"
"liked","40"
"likers","40"
"likes","40"
"liking","40"
"limitation","-20"
"limited","-20"
"limits","-20"
"litigation","-20"
"litigious","-40"
"lively","40"
"livid","-40"
"lmao","80"
"lmfao","80"
"loathe","-60"
"loathed","-60"
"loathes","-60"
"loathing","-60"
"loathsome","-60"
"lobbied","-40"
"lobby","-40"
"lobbying","-40"
"lobbyist","-40"
"lobbyists","-40"
"lol","60"
"lolol","80"
"lololol","80"
"lolololol","80"
"lonely","-40"
"lonesome","-40"
"longing","-20"
"lool","60"
"loom","-20"
"loomed","-20"
"looming","-20"
"looms","-20"
"loool","60"
"looool","60"
"loose","-60"
"looses","-60"
"loser","-60"
"losing","-60"
"loss","-60"
"losses","-60"
"lost","-60"
"lousy","-40"
"lovable","60"
"love","60"
"loved","60"
"lovelies","60"
"lovely","60"
"loves","60"
"loving","40"
"loving-kindness","60"
"lowest","-20"
"loyal","60"
"loyalty","60"
"luck","60"
"luckily","60"
"lucky","60"
"lucrative","60"
"ludicrous","-60"
"lugubrious","-40"
"lunatic","-60"
"lunatics","-60"
"lurk","-20"
"lurking","-20"
"lurks","-20"
"luxury","40"
"macabre","-40"
"mad","-60"
"maddening","-60"
"made-up","-20"
"madly","-60"
"madness","-60"
"magnificent","60"
"maladaption","-40"
"maldevelopment","-40"
"maltreatment","-40"
"mandatory","-20"
"manipulated","-20"
"manipulating","-20"
"manipulation","-20"
"manslaughter","-60"
"marvel","60"
"marvelous","60"
"marvels","60"
"masterpiece","80"
"masterpieces","80"
"matter","20"
"matters","20"
"mature","40"
"meaningful","40"
"meaningless","-40"
"medal","60"
"mediocrity","-60"
"meditative","20"
"melancholy","-40"
"memorable","20"
"memoriam","-40"
"menace","-40"
"menaced","-40"
"menaces","-40"
"mercy","40"
"merry","60"
"mesmerizing","60"
"mess","-40"
"messed","-40"
"messing up","-40"
"methodical","40"
"methodically","40"
"mindless","-40"
"miracle","80"
"mirth","60"
"mirthful","60"
"mirthfully","60"
"misbehave","-40"
"misbehaved","-40"
"misbehaves","-40"
"misbehaving","-40"
"misbranding","-60"
"miscast","-40"
"mischief","-20"
"mischiefs","-20"
"misclassified","-40"
"misclassifies","-40"
"misclassify","-40"
"misconduct","-40"
"misconducted","-40"
"misconducting","-40"
"misconducts","-40"
"miserable","-60"
"miserably","-60"
"misery","-40"
"misfire","-40"
"misfortune","-40"
"misgiving","-40"
"misinformation","-40"
"misinformed","-40"
"misinterpreted","-40"
"mislead","-60"
"misleaded","-60"
"misleading","-60"
"misleads","-60"
"misplace","-40"
"misplaced","-40"
"misplaces","-40"
"misplacing","-40"
"mispricing","-60"
"misread","-20"
"misreport","-40"
"misreported","-40"
"misreporting","-40"
"misreports","-40"
"misrepresent","-40"
"misrepresentation","-40"
"misrepresentations","-40"
"misrepresented","-40"
"misrepresenting","-40"
"misrepresents","-40"
"miss","-40"
"missed","-40"
"missing","-40"
"mistake","-40"
"mistaken","-40"
"mistakes","-40"
"mistaking","-40"
"misunderstand","-40"
"misunderstanding","-40"
"misunderstands","-40"
"misunderstood","-40"
"misuse","-40"
"misused","-40"
"misuses","-40"
"misusing","-40"
"moan","-40"
"moaned","-40"
"moaning","-40"
"moans","-40"
"mock","-40"
"mocked","-40"
"mocking","-40"
"mocks","-40"
"modernize","40"
"modernized","40"
"modernizes","40"
"modernizing","40"
"mongering","-40"
"monopolize","-40"
"monopolized","-40"
"monopolizes","-40"
"monopolizing","-40"
"monotone","-20"
"moody","-20"
"mope","-20"
"moping","-20"
"moron","-60"
"motherfucker","-100"
"motherfucking","-100"
"motivate","20"
"motivated","40"
"motivating","40"
"motivation","20"
"mourn","-40"
"mourned","-40"
"mournful","-40"
"mourning","-40"
"mourns","-40"
"muddy","-40"
"mumpish","-40"
"murder","-40"
"murderer","-40"
"murdering","-60"
"murderous","-60"
"murders","-40"
"murky","-40"
"myth","-20"
"n00b","-40"
"naive","-40"
"narcissism","-40"
"nasty","-60"
"natural","20"
"needy","-40"
"negative","-40"
"negativity","-40"
"neglect","-40"
"neglected","-40"
"neglecting","-40"
"neglects","-40"
"nerves","-20"
"nervous","-40"
"nervously","-40"
"nice","60"
"nifty","40"
"niggas","-100"
"nigger","-100"
"no","-20"
"no fun","-60"
"noble","40"
"noblest","40"
"noisy","-20"
"non-approved","-40"
"nonsense","-40"
"noob","-40"
"nosey","-40"
"not good","-40"
"not working","-60"
"notable","40"
"noticeable","40"
"notorious","-40"
"novel","40"
"numb","-20"
"nurturing","40"
"nuts","-60"
"obliterate","-40"
"obliterated","-40"
"obnoxious","-60"
"obscene","-40"
"obscenity","-40"
"obsessed","40"
"obsolete","-40"
"obstacle","-40"
"obstacles","-40"
"obstinate","-40"
"obstruct","-40"
"obstructed","-40"
"obstructing","-40"
"obstruction","-40"
"obstructs","-40"
"odd","-40"
"offence","-40"
"offences","-40"
"offend","-40"
"offended","-40"
"offender","-40"
"offending","-40"
"offends","-40"
"offense","-40"
"offenses","-40"
"offensive","-40"
"offensively","-40"
"offline","-20"
"oks","40"
"ominous","60"
"once-in-a-lifetime","60"
"oops","-40"
"opportunities","40"
"opportunity","40"
"oppressed","-40"
"oppression","-40"
"oppressions","-40"
"oppressive","-40"
"optimism","40"
"optimistic","40"
"optionless","-40"
"ostracize","-40"
"ostracized","-40"
"ostracizes","-40"
"ouch","-40"
"outage","-40"
"outages","-40"
"outbreak","-40"
"outbreaks","-40"
"outcry","-40"
"outmaneuvered","-40"
"outnumbered","-40"
"outrage","-60"
"outraged","-60"
"outrageous","-60"
"outreach","40"
"outstanding","100"
"overjoyed","80"
"overload","-20"
"overlooked","-20"
"overprotective","-40"
"overran","-40"
"overreact","-40"
"overreacted","-40"
"overreacting","-40"
"overreaction","-40"
"overreacts","-40"
"oversell","-40"
"overselling","-40"
"oversells","-40"
"oversight","-20"
"oversimplification","-40"
"oversimplified","-40"
"oversimplifies","-40"
"oversimplify","-40"
"oversold","-40"
"overstatement","-40"
"overstatements","-40"
"overweight","-20"
"overwrought","-60"
"oxymoron","-20"
"pain","-40"
"pained","-40"
"painful","-40"
"panic","-60"
"panicked","-60"
"panics","-60"
"paradise","60"
"paradox","-20"
"pardon","40"
"pardoned","40"
"pardoning","40"
"pardons","40"
"parley","-20"
"passion","20"
"passionate","40"
"passive","-20"
"passively","-20"
"pathetic","-40"
"pay","-20"
"peace","40"
"peaceful","40"
"peacefully","40"
"penalize","-40"
"penalized","-40"
"penalizes","-40"
"penalizing","-40"
"penalty","-40"
"pensive","-20"
"perfect","60"
"perfected","40"
"perfection","60"
"perfectly","60"
"perfects","40"
"peril","-40"
"perjury","-60"
"perpetrated","-40"
"perpetrator","-40"
"perpetrators","-40"
"perplexed","-40"
"persecute","-40"
"persecuted","-40"
"persecutes","-40"
"persecuting","-40"
"perturbed","-40"
"pervert","-60"
"pesky","-40"
"pessimism","-40"
"pessimistic","-40"
"petrified","-40"
"philanthropy","40"
"phobic","-40"
"picturesque","40"
"pileup","-20"
"pillage","-40"
"pique","-40"
"piqued","-40"
"piss","-80"
"pissed","-80"
"pissing","-60"
"piteous","-40"
"pitied","-20"
"pity","-40"
"plague","-60"
"plagued","-60"
"plagues","-60"
"plaguing","-60"
"playful","40"
"pleasant","60"
"please","20"
"pleased","60"
"pleasurable","60"
"pleasure","60"
"plodding","-40"
"poignant","40"
"pointless","-40"
"poised","-40"
"poison","-40"
"poisoned","-40"
"poisons","-40"
"polished","40"
"polite","40"
"politeness","40"
"pollutant","-40"
"pollute","-40"
"polluted","-40"
"polluter","-40"
"polluters","-40"
"pollutes","-40"
"pollution","-40"
"poor","-40"
"poorer","-40"
"poorest","-40"
"poorly","-40"
"popular","60"
"popularity","60"
"positive","40"
"positively","40"
"possessive","-40"
"post-traumatic","-40"
"postpone","-20"
"postponed","-20"
"postpones","-20"
"postponing","-20"
"poverty","-20"
"powerful","40"
"powerless","-40"
"praise","60"
"praised","60"
"praises","60"
"praising","60"
"pray","20"
"praying","20"
"prays","20"
"prblm","-40"
"prblms","-40"
"predatory","-40"
"prepared","20"
"pressure","-20"
"pressured","-40"
"pretend","-20"
"pretending","-20"
"pretends","-20"
"pretty","20"
"prevent","-20"
"prevented","-20"
"preventing","-20"
"prevents","-20"
"prick","-100"
"prison","-40"
"prisoner","-40"
"prisoners","-40"
"privileged","40"
"proactive","40"
"problem","-40"
"problems","-40"
"profit","40"
"profitable","40"
"profiteer","-40"
"profits","40"
"progress","40"
"prohibit","-20"
"prohibits","-20"
"prominent","40"
"promise","20"
"promised","20"
"promises","20"
"promote","20"
"promoted","20"
"promotes","20"
"promoting","20"
"promptly","20"
"propaganda","-40"
"prosecute","-20"
"prosecuted","-40"
"prosecutes","-20"
"prosecution","-20"
"prospect","20"
"prospects","20"
"prosperity","60"
"prosperous","60"
"protect","20"
"protected","20"
"protects","20"
"protest","-40"
"protesters","-40"
"protesting","-40"
"protests","-40"
"proud","40"
"proudly","40"
"provoke","-20"
"provoked","-20"
"provokes","-20"
"provoking","-20"
"prudence","40"
"pseudoscience","-60"
"psychopathic","-40"
"punish","-40"
"punished","-40"
"punishes","-40"
"punishing","-40"
"punitive","-40"
"pure","20"
"purest","20"
"purposeful","40"
"pushy","-20"
"puzzled","-40"
"quaking","-40"
"qualities","40"
"quality","40"
"questionable","-40"
"questioned","-20"
"questioning","-20"
"racism","-60"
"racist","-60"
"racists","-60"
"rage","-40"
"rageful","-40"
"rainy","-20"
"rant","-60"
"ranter","-60"
"ranters","-60"
"rants","-60"
"rape","-80"
"raped","-80"
"rapist","-80"
"rapture","40"
"raptured","40"
"raptures","40"
"rapturous","80"
"rash","-40"
"ratified","40"
"reach","20"
"reached","20"
"reaches","20"
"reaching","20"
"reassure","20"
"reassured","20"
"reassures","20"
"reassuring","40"
"rebel","-40"
"rebellion","-40"
"rebels","-40"
"recession","-40"
"reckless","-40"
"recognition","40"
"recommend","40"
"recommended","40"
"recommends","40"
"redeemed","40"
"refine","20"
"refined","20"
"refines","20"
"refreshingly","40"
"refuse","-40"
"refused","-40"
"refuses","-40"
"refusing","-40"
"regret","-40"
"regretful","-40"
"regrets","-40"
"regretted","-40"
"regretting","-40"
"reigning","20"
"reject","-20"
"rejected","-20"
"rejecting","-20"
"rejection","-40"
"rejects","-20"
"rejoice","80"
"rejoiced","80"
"rejoices","80"
"rejoicing","80"
"relaxed","40"
"relentless","-20"
"reliability","40"
"reliable","40"
"reliably","40"
"reliant","40"
"relieve","20"
"relieved","40"
"relieves","20"
"relieving","40"
"relishing","40"
"remarkable","40"
"remorse","-40"
"repellent","-40"
"repercussion","-40"
"repercussions","-40"
"reprimand","-40"
"reprimanded","-40"
"reprimanding","-40"
"reprimands","-40"
"repulse","-20"
"repulsed","-40"
"repulsive","-40"
"rescue","40"
"rescued","40"
"rescues","40"
"resentful","-40"
"resign","-20"
"resigned","-20"
"resigning","-20"
"resigns","-20"
"resolute","40"
"resolution","40"
"resolve","40"
"resolved","40"
"resolves","40"
"resolving","40"
"respect","40"
"respected","40"
"respects","40"
"responsibility","20"
"responsible","40"
"responsive","40"
"restful","40"
"restless","-40"
"restore","20"
"restored","20"
"restores","20"
"restoring","20"
"restrict","-40"
"restricted","-40"
"restricting","-40"
"restriction","-40"
"restrictive","-20"
"restricts","-40"
"retained","-20"
"retard","-40"
"retarded","-40"
"retreat","-20"
"revenge","-40"
"revengeful","-40"
"revered","40"
"revive","40"
"revives","40"
"revolting","-40"
"reward","40"
"rewarded","40"
"rewarding","40"
"rewards","40"
"rich","40"
"richly","40"
"ridiculous","-60"
"rig","-20"
"rigged","-20"
"right direction","60"
"righteousness","40"
"rightful","40"
"rightfully","40"
"rigorous","60"
"rigorously","60"
"riot","-40"
"riots","-40"
"rise","20"
"rises","20"
"risk","-40"
"risks","-40"
"risky","-40"
"riveting","60"
"rob","-40"
"robber","-40"
"robed","-40"
"robing","-40"
"robs","-40"
"robust","40"
"rofl","80"
"roflcopter","80"
"roflmao","80"
"romance","40"
"romantical","40"
"romantically","40"
"rose","20"
"rotfl","80"
"rotflmfao","80"
"rotflol","80"
"rotten","-60"
"rude","-40"
"ruin","-40"
"ruined","-40"
"ruining","-40"
"ruins","-40"
"sabotage","-40"
"sad","-40"
"sadden","-40"
"saddened","-40"
"sadly","-40"
"safe","20"
"safely","20"
"safer","40"
"safety","20"
"salient","20"
"salute","40"
"saluted","40"
"salutes","40"
"saluting","40"
"salvation","40"
"sappy","-20"
"sarcastic","-40"
"satisfied","40"
"savange","-40"
"savanges","-40"
"save","40"
"saved","40"
"savings","20"
"scam","-40"
"scams","-40"
"scandal","-60"
"scandalous","-60"
"scandals","-60"
"scapegoat","-40"
"scapegoats","-40"
"scare","-40"
"scared","-40"
"scar","-40"
"scars","-40"
"scary","-40"
"sceptical","-40"
"scold","-40"
"scoop","60"
"scorn","-40"
"scornful","-40"
"scream","-40"
"screamed","-40"
"screaming","-40"
"screams","-40"
"screwed","-40"
"screwed up","-60"
"scum","-60"
"scumbag","-80"
"seamless","40"
"seamlessly","40"
"secure","40"
"secured","40"
"secures","40"
"sedition","-40"
"seditious","-40"
"seduced","-20"
"self-abuse","-40"
"self-confident","40"
"self-contradictory","-40"
"self-deluded","-40"
"selfish","-60"
"selfishness","-60"
"sentence","-40"
"sentenced","-40"
"sentences","-40"
"sentencing","-40"
"serene","40"
"settlement","20"
"settlements","20"
"severe","-40"
"severely","-40"
"sexist","-40"
"sexistic","-40"
"sexy","60"
"shaky","-40"
"shame","-40"
"shamed","-40"
"shameful","-40"
"share","20"
"shared","20"
"shares","20"
"shattered","-40"
"shit","-80"
"shithead","-80"
"shitty","-60"
"shock","-40"
"shocked","-40"
"shocking","-40"
"shocks","-40"
"shoody","-40"
"shoot","-20"
"short-sighted","-40"
"short-sightedness","-40"
"shortage","-40"
"shortages","-40"
"shrew","-80"
"shy","-20"
"sick","-40"
"sickness","-40"
"side-effect","-40"
"side-effects","-40"
"sigh","-40"
"significance","20"
"significant","20"
"silencing","-20"
"silly","-20"
"simplicity","20"
"sin","-40"
"sincere","40"
"sincerely","40"
"sincerest","40"
"sincerity","40"
"sinful","-60"
"singleminded","-40"
"sinister","-40"
"sins","-40"
"skeptic","-40"
"skeptical","-40"
"skepticism","-40"
"skeptics","-40"
"slam","-40"
"slash","-40"
"slashed","-40"
"slashes","-40"
"slashing","-40"
"slave","-60"
"slavery","-60"
"slaves","-60"
"sleeplessness","-40"
"slick","40"
"slicker","40"
"slickest","40"
"slip","-20"
"sloppy","-40"
"sluggish","-40"
"slumping","-20"
"slut","-100"
"smart","20"
"smarter","40"
"smartest","40"
"smear","-40"
"smile","40"
"smiled","40"
"smiles","40"
"smiling","40"
"smog","-40"
"smuggle","-40"
"smuggled","-40"
"smuggling","-40"
"smuggles","-40"
"sneaky","-20"
"sneeze","-40"
"sneezed","-40"
"sneezes","-40"
"sneezing","-40"
"snub","-40"
"snubbed","-40"
"snubbing","-40"
"snubs","-40"
"sobering","20"
"solemn","-20"
"solid","40"
"solidarity","40"
"solidified","40"
"solidifies","40"
"solidify","40"
"solidifying","40"
"solution","20"
"solutions","20"
"solve","20"
"solved","20"
"solves","20"
"solving","20"
"somber","-40"
"some kind","0"
"son-of-a-bitch","-100"
"soothe","60"
"soothed","60"
"soothing","60"
"sophisticated","40"
"sore","-20"
"sorrow","-40"
"sorrowful","-40"
"sorry","-20"
"spacious","20"
"spam","-40"
"spammer","-60"
"spammers","-60"
"spamming","-40"
"spark","20"
"sparkle","60"
"sparkles","60"
"sparkling","60"
"spearhead","40"
"speculative","-40"
"spirit","20"
"spirited","40"
"spiritless","-40"
"spiteful","-40"
"splendid","60"
"spoiled","-40"
"spoilt","-40"
"spotless","40"
"sprightly","40"
"squander","-40"
"squandered","-40"
"squandering","-40"
"squanders","-40"
"squelched","-20"
"stab","-40"
"stabbed","-40"
"stable","40"
"stabs","-40"
"stall","-40"
"stalled","-40"
"stalling","-40"
"stamina","40"
"stampede","-40"
"stank","-40"
"startled","-40"
"startling","60"
"starve","-40"
"starved","-40"
"starves","-40"
"starving","-40"
"steadfast","40"
"steal","-40"
"stealing","-40"
"steals","-40"
"stereotype","-40"
"stereotyped","-40"
"stifled","-20"
"stimulate","20"
"stimulated","20"
"stimulates","20"
"stimulating","40"
"stingy","-40"
"stink","-40"
"stinked","-40"
"stinker","-40"
"stinking","-40"
"stinks","-40"
"stinky","-40"
"stole","-40"
"stolen","-40"
"stop","-20"
"stopped","-20"
"stopping","-20"
"stops","-20"
"stout","40"
"straight","20"
"strange","-20"
"strangely","-20"
"strangled","-40"
"strength","40"
"strengthen","40"
"strengthened","40"
"strengthening","40"
"strengthens","40"
"strengths","40"
"stress","-20"
"stressed","-40"
"stressor","-40"
"stressors","-40"
"stricken","-40"
"strike","-20"
"strikers","-40"
"strikes","-20"
"strong","40"
"stronger","40"
"strongest","40"
"struck","-20"
"struggle","-40"
"struggled","-40"
"struggles","-40"
"struggling","-40"
"stubborn","-40"
"stuck","-40"
"stunned","-40"
"stunning","80"
"stupid","-40"
"stupidity","-60"
"stupidly","-40"
"suave","40"
"subpoena","-40"
"substantial","20"
"substantially","20"
"subversive","-40"
"succeed","60"
"succeeded","60"
"succeeding","60"
"succeeds","60"
"success","40"
"successful","60"
"successfully","60"
"suck","-60"
"sucks","-60"
"sue","-40"
"sued","-40"
"sueing","-40"
"sues","-40"
"suffer","-40"
"suffered","-40"
"sufferer","-40"
"sufferers","-40"
"suffering","-40"
"suffers","-40"
"suicidal","-40"
"suicide","-40"
"suicides","-40"
"suing","-40"
"suitable","40"
"suited","40"
"sulking","-40"
"sulky","-40"
"sullen","-40"
"sunshine","40"
"super","60"
"superb","100"
"superior","40"
"support","40"
"supported","40"
"supporter","20"
"supporters","20"
"supporting","20"
"supportive","40"
"supports","40"
"supreme","80"
"survived","40"
"surviving","40"
"survivor","40"
"suspect","-20"
"suspected","-20"
"suspecting","-20"
"suspects","-20"
"suspend","-20"
"suspended","-20"
"suspicious","-40"
"sustainability","20"
"sustainable","40"
"sustainably","40"
"swear","-40"
"swearing","-40"
"swears","-40"
"sweet","40"
"sweeter","60"
"sweetest","60"
"swift","40"
"swiftly","40"
"swindle","-60"
"swindles","-60"
"swindling","-60"
"sympathetic","40"
"sympathy","40"
"taint","-40"
"tainted","-40"
"talent","40"
"tard","-40"
"tarnish","-40"
"tarnished","-40"
"tarnishes","-40"
"tears","-40"
"tender","40"
"tenderness","40"
"tense","-40"
"tension","-20"
"terrible","-60"
"terribly","-60"
"terrific","80"
"terrifically","80"
"terrified","-60"
"terror","-60"
"terrorist","-40"
"terrorists","-40"
"terrorize","-60"
"terrorized","-60"
"terrorizes","-60"
"thank","40"
"thankful","40"
"thanks","40"
"thorny","-40"
"thoughtful","40"
"thoughtless","-40"
"threat","-40"
"threaten","-40"
"threatened","-40"
"threatening","-40"
"threatens","-40"
"threats","-40"
"thrilled","100"
"thwart","-40"
"thwarted","-40"
"thwarting","-40"
"thwarts","-40"
"timid","-40"
"timorous","-40"
"tired","-40"
"tits","-40"
"tolerance","40"
"tolerant","40"
"toothless","-40"
"top","40"
"tops","40"
"torn","-40"
"torture","-80"
"tortured","-80"
"tortures","-80"
"torturing","-80"
"totalitarian","-40"
"totalitarianism","-40"
"tout","-40"
"touted","-40"
"touting","-40"
"touts","-40"
"toxic","-60"
"tragedies","-40"
"tragedy","-40"
"tragic","-40"
"tranquil","40"
"transgress","-40"
"transgressed","-40"
"transgresses","-40"
"transgressing","-40"
"trap","-20"
"trapped","-40"
"traps","-20"
"trauma","-60"
"traumatic","-60"
"travesty","-40"
"treason","-60"
"treasonous","-60"
"treasure","40"
"treasures","40"
"trembling","-40"
"tremor","-40"
"tremors","-40"
"tremulous","-40"
"tribulation","-40"
"tribute","40"
"tricked","-40"
"trickery","-40"
"triumph","80"
"triumphant","80"
"troll","-40"
"trouble","-40"
"troubled","-40"
"troubles","-40"
"troubling","-40"
"true","40"
"trust","20"
"trusted","40"
"trusts","20"
"tumor","-40"
"twat","-100"
"tyran","-60"
"tyrannic","-60"
"tyrannical","-60"
"tyrannically","-60"
"tyrans","-60"
"ubiquitous","40"
"ugh","-40"
"ugliness","-60"
"ugly","-60"
"unable","-40"
"unacceptable","-40"
"unappeasable","-40"
"unappreciated","-40"
"unapproved","-40"
"unattractive","-40"
"unavailable","-20"
"unavailing","-40"
"unaware","-40"
"unbearable","-40"
"unbelievable","-20"
"unbelieving","-20"
"unbiased","40"
"uncertain","-20"
"unclear","-20"
"uncomfortable","-40"
"unconcerned","-40"
"unconfirmed","-20"
"unconvinced","-20"
"uncredited","-20"
"undecided","-20"
"undercooked","-40"
"underestimate","-20"
"underestimated","-20"
"underestimates","-20"
"underestimating","-20"
"undermine","-40"
"undermined","-40"
"undermines","-40"
"undermining","-40"
"underperform","-40"
"underperformed","-40"
"underperforming","-40"
"underperforms","-40"
"undeserving","-40"
"undesirable","-40"
"uneasy","-40"
"unemployed","-20"
"unemployment","-40"
"unequal","-20"
"unequaled","40"
"unethical","-40"
"uneventful","-40"
"unfair","-40"
"unfavorable","-40"
"unfit","-40"
"unfitted","-40"
"unfocused","-40"
"unforgivable","-60"
"unforgiving","-40"
"unfulfilled","-40"
"unfunny","-40"
"ungenerous","-40"
"ungrateful","-60"
"unhappy","-40"
"unhappiness","-40"
"unhealthy","-40"
"unhygienic","-40"
"unified","20"
"unimaginative","-40"
"unimpressed","-40"
"uninspired","-40"
"unintelligent","-40"
"unintentional","-40"
"uninvolving","-40"
"united","20"
"unjust","-40"
"unlikely","-20"
"unlovable","-40"
"unloved","-40"
"unmatched","20"
"unmotivated","-40"
