"term","sentiment"
"boosting","20"
"boosts","20"
"bore","-40"
"bored","-40"
"boring","-60"
"bother","-40"
"bothered","-40"
"bothers","-40"
"bothersome","-40"
"boycott","-40"
"boycotted","-40"
"boycotting","-40"
"boycotts","-40"
"brainwashing","-60"
"brave","40"
"braveness","40"
"bravery","40"
"bravura","60"
"breach","-40"
"breached","-40"
"breaches","-40"
"breaching","-40"
"breakthrough","60"
"breathtaking","100"
"bribe","-60"
"bribed","-60"
"bribes","-60"
"bribing","-60"
"bright","20"
"brightest","40"
"brightness","20"
"brilliant","80"
"brilliance","60"
"brilliances","60"
"brisk","40"
"broke","-20"
"broken","-20"
"brooding","-40"
"brutal","-60"
"brutally","-60"
"bullied","-40"
"bullshit","-80"
"bully","-40"
"bullying","-40"
"bummer","-40"
"buoyant","40"
"burden","-40"
"burdened","-40"
"burdening","-40"
"burdens","-40"
"burglar","-40"
"burglary","-40"
"calm","40"
"calmed","40"
"calming","40"
"calms","40"
"can't stand","-60"
"cancel","-20"
"cancelled","-20"
"cancelling","-20"
"cancels","-20"
"cancer","-20"
"capabilities","20"
"capability","20"
"capable","20"
"captivated","60"
"care","40"
"carefree","20"
"careful","40"
"carefully","40"
"carefulness","40"
"careless","-40"
"cares","40"
"caring","40"
"cashing in","-40"
"casualty","-40"
"catastrophe","-60"
"catastrophic","-80"
"cautious","-20"
"celebrate","60"
"celebrated","60"
"celebrates","60"
"celebrating","60"
"celebration","60"
"celebrations","60"
"censor","-40"
"censored","-40"
"censors","-40"
"certain","20"
"chagrin","-40"
"chagrined","-40"
"challenge","-20"
"champion","40"
"championed","40"
"champions","40"
"chance","40"
"chances","40"
"chaos","-40"
"chaotic","-40"
"charged","-60"
"charges","-40"
"charisma","40"
"charitable","40"
"charm","60"
"charming","60"
"charmingly","60"
"charmless","-60"
"chastise","-60"
"chastised","-60"
"chastises","-60"
"chastising","-60"
"cheat","-60"
"cheated","-60"
"cheater","-60"
"cheaters","-60"
"cheating","-60"
"cheats","-60"
"cheer","40"
"cheered","40"
"cheerful","40"
"cheerfully","40"
"cheering","40"
"cheerless","-40"
"cheers","40"
"cheery","60"
"cherish","40"
"cherished","40"
"cherishes","40"
"cherishing","40"
"chic","40"
"chide","-60"
"chided","-60"
"chides","-60"
"chiding","-60"
"childish","-40"
"chilling","-20"
"choke","-40"
"choked","-40"
"chokes","-40"
"choking","-40"
"clarifies","40"
"clarity","40"
"clash","-40"
"classy","60"
"clean","40"
"cleaner","40"
"clear","20"
"cleared","20"
"clearly","20"
"clears","20"
"clever","40"
"clouded","-20"
"clueless","-40"
"cock","-100"
"cocksucker","-100"
"cocksuckers","-100"
"cocky","-40"
"coerced","-40"
"coercion","-40"
"collapse","-40"
"collapsed","-40"
"collapses","-40"
"collapsing","-40"
"collide","-20"
"collides","-20"
"colliding","-20"
"collision","-40"
"collisions","-40"
"colluding","-60"
"combat","-20"
"combats","-20"
"comedy","20"
"comfort","40"
"comfortable","40"
"comfortably","40"
"comforting","40"
"comforts","40"
"comic","20"
"commend","40"
"commended","40"
"commit","20"
"commitment","40"
"commits","20"
"committed","20"
"committing","20"
"compassion","40"
"compassionate","40"
"compelled","20"
"competencies","20"
"competent","40"
"competitive","40"
"complacent","-40"
"complain","-40"
"complained","-40"
"complaining","-40"
"complains","-40"
"complaint","-40"
"complaints","-40"
"complicating","-40"
"compliment","40"
"complimented","40"
"compliments","40"
"comprehensive","40"
"concerned","-40"
"conciliate","40"
"conciliated","40"
"conciliates","40"
"conciliating","40"
"condemn","-40"
"condemnation","-40"
"condemned","-40"
"condemns","-40"
"confidence","40"
"confident","40"
"confidently","40"
"conflict","-40"
"conflicting","-40"
"conflictive","-40"
"conflicts","-40"
"confuse","-40"
"confused","-40"
"confusing","-40"
"congrats","40"
"congratulate","40"
"congratulation","40"
"congratulations","40"
"consent","40"
"consents","40"
"consolable","40"
"conspiracy","-60"
"constipation","-40"
"constrained","-40"
"contagion","-40"
"contagions","-40"
"contagious","-20"
"contaminant","-40"
"contaminants","-40"
"contaminate","-40"
"contaminated","-40"
"contaminates","-40"
"contaminating","-40"
"contamination","-40"
"contaminations","-40"
"contempt","-40"
"contemptible","-40"
"contemptuous","-40"
"contemptuously","-40"
"contend","-20"
"contender","-20"
"contending","-20"
"contentious","-40"
"contestable","-40"
"controversial","-40"
"controversially","-40"
"controversies","-40"
"controversy","-40"
"convicted","-40"
"convince","20"
"convinced","20"
"convinces","20"
"convivial","40"
"cool","20"
"cool stuff","60"
"cornered","-40"
"corpse","-20"
"corrupt","-60"
"corrupted","-60"
"corrupting","-60"
"corruption","-60"
"corrupts","-60"
"costly","-40"
"courage","40"
"courageous","40"
"courageously","40"
"courageousness","40"
"courteous","40"
"courtesy","40"
"cover-up","-60"
"coward","-40"
"cowardly","-40"
"coziness","40"
"cramp","-20"
"crap","-60"
"crappy","-60"
"crash","-40"
"crazier","-40"
"craziest","-40"
"crazy","-40"
"creative","40"
"crestfallen","-40"
"cried","-40"
"cries","-40"
"crime","-60"
"crimes","-60"
"criminal","-60"
"criminals","-60"
"criminate","-60"
"criminated","-60"
"criminates","-60"
"crisis","-60"
"critic","-40"
"criticise","-40"
"criticised","-40"
"criticises","-40"
"criticising","-40"
"criticism","-40"
"criticize","-40"
"criticized","-40"
"criticizes","-40"
"criticizing","-40"
"critics","-40"
"critique","-40"
"crowding","-20"
"crude","-20"
"cruel","-60"
"cruelty","-60"
"crush","-20"
"crushed","-40"
"crushes","-20"
"crushing","-20"
"cry","-20"
"crying","-40"
"cunning","40"
"cunt","-100"
"curious","20"
"curse","-20"
"cut","-20"
"cutback","-40"
"cutbacks","-40"
"cute","40"
"cuts","-20"
"cutting","-20"
"cynic","-40"
"cynical","-40"
"cynicism","-40"
"damage","-60"
"damaged","-60"
"damages","-60"
"damaging","-60"
"damn","-40"
"damn cute","60"
"damn good","80"
"damned","-80"
"damnit","-80"
"danger","-40"
"dangerous","-40"
"dangerously","-40"
"daredevil","40"
"daring","40"
"darkest","-40"
"darkness","-20"
"dauntless","40"
"dazzling","60"
"dead","-60"
"deadening","-40"
"deadlock","-40"
"deadly","-60"
"deafening","-20"
"dear","40"
"dearly","60"
"death","-40"
"deaths","-40"
"debonair","40"
"debt","-40"
"deceit","-60"
"deceitful","-60"
"deceive","-60"
"deceived","-60"
"deceives","-60"
"deceiving","-60"
"deception","-60"
"deceptive","-60"
"decisive","20"
"dedicated","40"
"dedication","40"
"defeat","-40"
"defeated","-40"
"defect","-60"
"defective","-60"
"defects","-60"
"defender","40"
"defenders","40"
"defenseless","-40"
"defer","-20"
"deferring","-20"
"defiant","-20"
"deficient","-40"
"deficiency","-40"
"deficiencies","-40"
"deficit","-40"
"deformed","-40"
"deformities","-40"
"deformity","-40"
"defraud","-60"
"defrauds","-60"
"deft","40"
"defunct","-40"
"degrade","-40"
"degraded","-40"
"degrades","-40"
"dehumanize","-40"
"dehumanized","-40"
"dehumanizes","-40"
"dehumanizing","-40"
"deject","-40"
"dejected","-40"
"dejecting","-40"
"dejects","-40"
"delay","-20"
"delayed","-20"
"delectable","60"
"delicious","60"
"delight","60"
"delighted","60"
"delightful","60"
"delightfully","60"
"delighting","60"
"delights","60"
"demand","-20"
"demanded","-20"
"demanding","-20"
"demands","-20"
"demonstration","-20"
"demoralize","-40"
"demoralized","-40"
"demoralizes","-40"
"demoralizing","-40"
"denial","-40"
"denials","-40"
"denied","-40"
"denier","-40"
"deniers","-40"
"denies","-40"
"denounce","-40"
"denounces","-40"
"dent","-40"
"deny","-40"
"denying","-40"
"deplore","-60"
"deplored","-60"
"deplores","-60"
"deploring","-60"
"deport","-40"
"deported","-40"
"deporting","-40"
"deports","-40"
"deportation","-40"
"deportations","-40"
"depressed","-40"
"depressing","-40"
"deprivation","-60"
"derail","-40"
"derailed","-40"
"derails","-40"
"derelict","-40"
"deride","-40"
"derided","-40"
"derides","-40"
"deriding","-40"
"derision","-40"
"desirable","40"
"desire","20"
"desired","40"
"desirous","40"
"despair","-60"
"despairing","-60"
"despairs","-60"
"desperate","-60"
"desperately","-60"
"despondent","-60"
"destroy","-60"
"destroyed","-60"
"destroying","-60"
"destroys","-60"
"destruction","-60"
"destructive","-60"
"detached","-20"
"detain","-40"
"detained","-40"
"detention","-40"
"deteriorate","-40"
"deteriorated","-40"
"deteriorates","-40"
"deteriorating","-40"
"determined","40"
"deterrent","-40"
"detract","-20"
"detracted","-20"
"detracts","-20"
"devastate","-40"
"devastated","-40"
"devastating","-40"
"devastation","-40"
"devastations","-40"
"devoted","60"
"devotion","40"
"devotional","40"
"diamond","20"
"dick","-80"
"dickhead","-80"
"die","-60"
"died","-60"
"difficult","-20"
"diffident","-40"
"dignity","40"
"dilemma","-20"
"dilligence","40"
"dipshit","-60"
"dire","-60"
"direful","-60"
"dirt","-40"
"dirtier","-40"
"dirtiest","-40"
"dirty","-40"
"disabilities","-40"
"disability","-40"
"disabling","-20"
"disadvantage","-40"
"disadvantaged","-40"
"disagree","-40"
"disagreeable","-40"
"disagreement","-40"
"disappear","-20"
"disappeared","-20"
"disappears","-20"
"disappoint","-40"
"disappointed","-40"
"disappointing","-40"
"disappointment","-40"
"disappointments","-40"
"disappoints","-40"
"disapproval","-40"
"disapprovals","-40"
"disapprove","-40"
"disapproved","-40"
"disapproves","-40"
"disapproving","-40"
"disaster","-40"
"disasters","-40"
"disastrous","-60"
"disbelieve","-40"
"discard","-20"
"discarded","-20"
"discarding","-20"
"discards","-20"
"discernment","40"
"discomfort","-40"
"disconsolate","-40"
"disconsolation","-40"
"discontented","-40"
"discord","-40"
"discounted","-20"
"discouraged","-40"
"discredited","-40"
"discriminate","-40"
"discriminated","-40"
"discriminates","-40"
"discriminating","-40"
"discriminatory","-40"
"disdain","-40"
"disease","-20"
"diseases","-20"
"disgrace","-40"
"disgraced","-40"
"disguise","-20"
"disguised","-20"
"disguises","-20"
"disguising","-20"
"disgust","-60"
"disgusted","-60"
"disgustful","-60"
"disgusting","-60"
"disheartened","-40"
"dishonest","-40"
"disillusioned","-40"
"disinclined","-40"
"disjointed","-40"
"dislike","-40"
"disliked","-40"
